trade_id,date,side,entry_time,exit_time,underlying_entry,underlying_exit,h3,l3,h1,l1,strike,option_type,option_symbol,entry_premium,exit_premium,lots,lot_size,gross_pnl,charges,net_pnl,exit_reason,re_entry_number,regime_at_exit
1,2026-01-20,PUT,2026-01-20 09:23:00,2026-01-20 15:11:00,25516.70,25222.25,25585.00,25528.40,25560.40,25515.40,25800,PE,NIFTY25800PE,423.70,625.30,1,25,5040.00,71.21,4968.79,PREMIUM_TARGET,0,B
1,2026-01-21,CALL,2026-01-21 09:19:00,2026-01-21 10:21:00,25242.40,25130.45,25254.00,25130.15,25276.30,25130.15,24950,CE,NIFTY24950CE,708.05,625.95,1,25,-2052.50,75.22,-2127.72,CANDLE_SL,0,A
1,2026-01-22,CALL,2026-01-22 09:27:00,2026-01-22 10:20:00,25374.70,25330.55,25355.60,25305.85,25361.90,25330.00,25150,CE,NIFTY25150CE,608.90,590.60,1,25,-457.50,72.81,-530.31,PREMIUM_TRAIL_SL,0,B
1,2026-01-27,PUT,2026-01-27 09:21:00,2026-01-27 09:37:00,24941.35,25035.40,25126.30,25006.30,25040.30,24962.75,25250,PE,NIFTY25250PE,500.00,442.00,1,25,-1450.00,66.99,-1516.99,CANDLE_SL,0,A
1,2026-01-28,CALL,2026-01-28 09:20:00,2026-01-28 09:38:00,25343.25,25288.90,25334.75,25225.70,25336.30,25295.15,25050,CE,NIFTY25050CE,656.00,619.35,1,25,-916.25,74.30,-990.55,CANDLE_SL,0,A
2,2026-01-28,CALL,2026-01-28 11:24:00,2026-01-28 11:42:00,25337.90,25295.40,25334.75,25225.70,25336.30,25295.15,25050,CE,NIFTY25050CE,619.00,615.90,1,25,-77.50,73.68,-151.18,CANDLE_SL,1,A
1,2026-01-30,CALL,2026-01-30 09:38:00,2026-01-30 11:10:00,25308.30,25257.30,25285.95,25224.35,25301.55,25261.20,25050,CE,NIFTY25050CE,576.00,540.00,1,25,-900.00,70.88,-970.88,CANDLE_SL,0,A
1,2026-02-01,CALL,2026-02-01 10:14:00,2026-02-01 11:42:00,25352.25,25323.05,25342.55,25252.30,25346.85,25335.50,25150,CE,NIFTY25150CE,511.00,497.05,1,25,-348.75,68.73,-417.48,PREMIUM_TRAIL_SL,0,B
1,2026-02-02,CALL,2026-02-02 09:21:00,2026-02-02 10:00:00,24838.30,24852.55,24815.85,24726.85,24839.65,24783.20,24600,CE,NIFTY24600CE,549.45,542.30,1,25,-178.75,70.58,-249.33,PREMIUM_TRAIL_SL,0,B
2,2026-02-02,CALL,2026-02-02 10:40:00,2026-02-02 10:57:00,24870.10,24777.70,24815.85,24726.85,24839.65,24783.20,24600,CE,NIFTY24600CE,566.35,497.70,1,25,-1716.25,69.53,-1785.78,CANDLE_SL,1,A
1,2026-02-03,PUT,2026-02-03 09:35:00,2026-02-03 09:52:00,25753.45,25774.50,26341.20,25766.65,25790.65,25753.25,26500,PE,NIFTY26500PE,778.65,741.95,1,25,-917.50,79.56,-997.06,CANDLE_SL,0,A
2,2026-02-03,PUT,2026-02-03 09:53:00,2026-02-03 10:18:00,25752.00,25751.10,26341.20,25766.65,25790.65,25753.25,26500,PE,NIFTY26500PE,767.05,750.45,1,25,-415.00,79.65,-494.65,PREMIUM_TRAIL_SL,1,B
